Wavelength[nm],Intensity[normalized],Phase[rad]
562.05,0.17041011,0.51088450
562.50,0.17018469,0.51067581
562.95,0.16962386,0.51050712
563.41,0.16924821,0.50987647
563.86,0.16914063,0.50877026
564.31,0.16890886,0.50766321
564.76,0.16879582,0.50654182
565.22,0.16931779,0.50539262
565.67,0.16990351,0.50420222
566.12,0.17003202,0.50295725
566.58,0.17055078,0.50164442
567.03,0.17194777,0.50025046
567.48,0.17353494,0.49925045
567.93,0.17464878,0.49814295
568.39,0.17508111,0.49740314
568.84,0.17516270,0.49604140
569.29,0.17540852,0.49599784
569.75,0.17585651,0.49530636
570.20,0.17651371,0.49541891
570.65,0.17758854,0.49534606
571.10,0.17888764,0.49556326
571.56,0.18011011,0.49556947
572.01,0.18141417,0.49584024
572.46,0.18295921,0.49636289
572.91,0.18462046,0.49614824
573.37,0.18631365,0.49567198
573.82,0.18815938,0.49589814
574.27,0.19025947,0.49534938
574.72,0.19236922,0.49498983
575.18,0.19407191,0.49480707
575.63,0.19533665,0.49478877
576.08,0.19679726,0.49492260
576.53,0.19875172,0.49519632
576.98,0.20049901,0.49559769
577.44,0.20174882,0.49660283
577.89,0.20317014,0.49722304
578.34,0.20516671,0.49891109
578.79,0.20757722,0.50067837
579.25,0.21018636,0.50300116
579.70,0.21266559,0.50586752
580.15,0.21481860,0.50926553
580.60,0.21675531,0.51367160
581.05,0.21841471,0.51858564
581.51,0.21973013,0.52350757
581.96,0.22102592,0.52989051
582.41,0.22262628,0.53723448
582.86,0.22437023,0.54552783
583.31,0.22568224,0.55475894
583.76,0.22621957,0.56393968
584.22,0.22634793,0.57452336
584.67,0.22620733,0.58454539
585.12,0.22550406,0.59594743
585.57,0.22462973,0.60822980
586.02,0.22422582,0.61991630
586.47,0.22440760,0.63197216
586.93,0.22495894,0.64389782
587.38,0.22540072,0.65568204
587.83,0.22526510,0.66682534
588.28,0.22486696,0.67682828
588.73,0.22489197,0.68665630
589.18,0.22493843,0.69483346
589.63,0.22421586,0.70232530
590.09,0.22291625,0.70912081
590.54,0.22150560,0.71374418
590.99,0.22036530,0.71716104
591.44,0.21989591,0.71838396
591.89,0.21986515,0.71691380
592.34,0.21967153,0.71420460
592.79,0.21920709,0.70975730
593.25,0.21890070,0.70404945
593.70,0.21881950,0.69658209
594.15,0.21846006,0.68783282
594.60,0.21788994,0.67730275
595.05,0.21762764,0.66449302
595.50,0.21790064,0.65085792
595.95,0.21878473,0.63687523
596.40,0.22011255,0.62155792
596.85,0.22176489,0.60636039
597.30,0.22367274,0.59127225
597.76,0.22540594,0.57628314
598.21,0.22693858,0.56235929
598.66,0.22881079,0.54900213
599.11,0.23123829,0.53620141
599.56,0.23396276,0.52443519
600.01,0.23656038,0.51369329
600.46,0.23919032,0.50396557
600.91,0.24276957,0.49573020
601.36,0.24722804,0.49044194
601.81,0.25131832,0.48711419
602.26,0.25461927,0.48524866
602.71,0.25779802,0.48434711
603.16,0.26138181,0.48537615
603.61,0.26515697,0.48734932
604.06,0.26881027,0.49074503
604.51,0.27267385,0.49604174
604.97,0.27702221,0.50322964
605.42,0.28128014,0.51132240
605.87,0.28483978,0.52031028
606.32,0.28781273,0.53067188
606.77,0.29062179,0.54190925
607.22,0.29334236,0.55352446
607.67,0.29558272,0.56550792
608.12,0.29716124,0.57882663
608.57,0.29804865,0.59200621
609.02,0.29843789,0.60552543
609.47,0.29922566,0.61937483
609.92,0.30029452,0.63305670
610.37,0.30016276,0.64704990
610.82,0.29892068,0.66085678
611.27,0.29788475,0.67446800
611.72,0.29697953,0.68738598
612.17,0.29601982,0.70008972
612.62,0.29530380,0.71256996
613.07,0.29406701,0.72384094
613.52,0.29179460,0.73438176
613.97,0.28869056,0.74418325
614.42,0.28482285,0.75274803
614.87,0.28105847,0.76006699
615.32,0.27809722,0.76613108
615.77,0.27518457,0.77093127
616.22,0.27194606,0.77445856
616.67,0.26915818,0.77621571
617.12,0.26719442,0.77668205
617.56,0.26558383,0.77487212
618.01,0.26374799,0.77077704
618.46,0.26136389,0.76389967
618.91,0.25841193,0.75569605
619.36,0.25554401,0.74518082
619.81,0.25379550,0.73332179
620.26,0.25338856,0.72011022
620.71,0.25392121,0.70553741
621.16,0.25484562,0.68959470
621.61,0.25522033,0.67178516
622.06,0.25479848,0.65258845
622.51,0.25452293,0.63248427
622.96,0.25482561,0.61195235
623.41,0.25512988,0.59098415
623.86,0.25522888,0.56957118
624.30,0.25542805,0.54819325
624.75,0.25575758,0.52781846
625.20,0.25651127,0.50795014
625.65,0.25832081,0.48906817
626.10,0.26087695,0.47116418
626.55,0.26351436,0.45374158
627.00,0.26640876,0.43776860
627.45,0.26953840,0.42323698
627.90,0.27227180,0.41013847
628.35,0.27447775,0.39797655
628.79,0.27681875,0.38967272
629.24,0.27984669,0.38375398
629.69,0.28339216,0.37923560
630.14,0.28724776,0.37659777
630.59,0.29105672,0.37534410
631.04,0.29403389,0.37546653
631.49,0.29594247,0.37646875
631.94,0.29736539,0.37883103
632.38,0.29904080,0.38254539
632.83,0.30082927,0.38711557
633.28,0.30214910,0.39302195
633.73,0.30343394,0.39928003
634.18,0.30523528,0.40685852
634.63,0.30704312,0.41477298
635.08,0.30784642,0.42350387
635.52,0.30695551,0.43206683
635.97,0.30482577,0.44143064
636.42,0.30289594,0.45061098
636.87,0.30201531,0.46057669
637.32,0.30167479,0.47034350
637.77,0.30105620,0.48039202
638.21,0.29974324,0.48973802
638.66,0.29735991,0.49983873
639.11,0.29404067,0.50970997
639.56,0.29065424,0.51885589
640.01,0.28771513,0.52726893
640.45,0.28520878,0.53591812
640.90,0.28288263,0.54381939
641.35,0.28021081,0.55145354
641.80,0.27726385,0.55881311
642.25,0.27470555,0.56540239
642.69,0.27269209,0.57170224
643.14,0.27089910,0.57721700
643.59,0.26918448,0.58193931
644.04,0.26758823,0.58635009
644.49,0.26574376,0.58995376
644.93,0.26366881,0.59274303
645.38,0.26205320,0.59519889
645.83,0.26071892,0.59633755
646.28,0.25918812,0.59712834
646.72,0.25808548,0.59707578
647.17,0.25812529,0.59568441
647.62,0.25864554,0.59343536
648.07,0.25887603,0.58983321
